Label,X_max,X_min,X_Aver,X_Median,X_Variance,X_StandardDeviation,X_MedianAbsoluteDeviation,X_RootMeanSquare,Y_max,Y_min,Y_Aver,Y_Median,Y_Variance,Y_StandardDeviation,Y_MedianAbsoluteDeviation,Y_RootMeanSquare,Z_max,Z_min,Z_Aver,Z_Median,Z_Variance,Z_StandardDeviation,Z_MedianAbsoluteDeviation,Z_RootMeanSquare,X-Y_max,X-Y_min,X-Y_Aver,X-Y_Median,X-Y_Variance,X-Y_StandardDeviation,X-Y_MedianAbsoluteDeviation,X-Y_RootMeanSquare,Y-Z_max,Y-Z_min,Y-Z_Aver,Y-Z_Median,Y-Z_Variance,Y-Z_StandardDeviation,Y-Z_MedianAbsoluteDeviation,Y-Z_RootMeanSquare,Z-X_max,Z-X_min,Z-X_Aver,Z-X_Median,Z-X_Variance,Z-X_StandardDeviation,Z-X_MedianAbsoluteDeviation,Z-X_RootMeanSquare
4,1.7459685,-1.6897757,0.141994425,0.024234766,0.519861816,0.721014435,0.462591066,0.734863411,1.176052,-1.1201255,0.042171158,-0.010652645,0.433111558,0.658112117,0.606135445,0.659461875,3.2959282,-2.9111013,0.214150107,0.63436496,3.437107378,1.853943737,1.37206064,1.866271054,1.10281505,-1.38351216,0.099823267,0.04101266,0.248467647,0.498465292,0.39681107,0.508362402,2.02213814,-2.35956074,-0.171978949,-0.63729453,1.582569463,1.258002171,0.93849806,1.269703202,1.93958036,-2.63812752,0.072155682,0.59867862,1.794816486,1.339707612,0.88416953,1.341649331
4,1.7166736,-1.7672738,0.091703287,0.14141385,0.538243933,0.733651098,0.53236595,0.739360146,1.3214606,-1.8050907,-0.002053299,0.26498455,0.782280331,0.884466127,0.76805565,0.884468511,3.5582497,-2.9574404,0.171736605,1.0309097,3.828848233,1.956744294,1.31613426,1.964266198,1.18830245,-1.168861527,0.093756586,0.1515339,0.297621873,0.545547315,0.4306332,0.553545093,1.70522204,-2.4136231,-0.173789904,-0.577107,1.431628037,1.196506597,0.93263916,1.20906202,2.431998727,-2.39684502,0.080033317,0.26152244,2.133012974,1.460483815,1.41094281,1.462675051
4,3.0543795,-2.6687539,-0.09218266,-0.061252706,1.317361338,1.147763625,0.294012994,1.1514595,2.3568976,-2.783536,-0.080845583,0.08175905,0.978537746,0.989210668,0.55873118,0.992508818,3.0423954,-3.3089776,-0.141749406,0.22743396,3.637778493,1.907296121,1.40588284,1.912556244,0.9864349,-2.2892533,-0.011337077,0.0170442,0.466507514,0.683013553,0.4780376,0.683107637,2.46262517,-2.0298615,0.060903823,-0.27723506,1.316446861,1.147365182,0.80134511,1.148980477,2.10895733,-2.60696829,-0.049566746,-0.0119841,1.59193063,1.261717334,0.94622102,1.262690577
4,1.5650368,-1.6847663,-0.089241296,-0.13347405,1.184926767,1.088543415,1.04335775,1.092195393,1.493871,-1.7287487,0.091916891,0.14966199,0.792113868,0.890007791,0.85551681,0.894741629,3.887852,-3.7183368,0.125923768,0.3747658,7.05645433,2.656398752,2.5732699,2.659381719,2.5332582,-2.88756,-0.181158187,-0.14905113,3.630916506,1.905496394,1.98164683,1.914088502,3.11022038,-3.1929926,-0.034006877,-0.8356637,3.598809931,1.89705296,1.42209431,1.897357741,5.0552152,-4.937013,0.215165064,0.29657507,13.61376712,3.689683878,3.85822477,3.695952263
4,1.745242,-1.8820758,-0.273411525,-0.6310238,1.260510666,1.122724662,0.8500189,1.155536468,1.5519031,-1.5864171,0.130305906,0.2706133,0.482091884,0.694328369,0.4783075,0.706449937,3.3835826,-3.0607402,0.544958201,1.3329079,4.263648311,2.064860361,1.5271633,2.135562631,2.5848762,-2.932764,-0.403717431,-1.07909342,2.925146768,1.710306045,1.14353988,1.757308889,2.44773695,-2.63130206,-0.414652295,-1.0968086,2.27444263,1.508125535,0.8097018,1.56409052,4.8017062,-4.29255,0.818369726,2.19208984,9.799011265,3.130337245,1.9089538,3.235543273
4,1.572978,-1.7876972,-0.03426954,-0.004276057,1.251481323,1.11869626,1.080620643,1.119221034,1.1618657,-0.80664754,-2.35E-04,-0.048563786,0.29997478,0.547699534,0.501520386,0.547699585,3.087313,-2.6093109,0.008457439,-0.33536503,4.308303205,2.07564525,2.10045997,2.075662481,2.11451004,-2.29440985,-0.034034359,0.10018191,2.641866222,1.62538187,1.63253739,1.625738158,2.07633094,-2.29776967,-0.00869262,0.01679879,2.491320191,1.578391647,1.67041081,1.578415583,4.2366558,-4.1538836,0.042726979,-0.21502456,10.02668075,3.166493447,3.34815234,3.166781701
4,1.4495832,-1.7760907,-0.178265751,-0.32589662,1.363682856,1.167768323,1.19637958,1.181296548,1.2205088,-0.5522222,0.028331928,-0.09682214,0.178033335,0.421939966,0.2312125,0.422890095,3.327383,-3.0158417,0.207914096,0.8481864,5.261324273,2.293757675,1.763568,2.303161424,1.7959438,-2.688418,-0.206597679,-0.593150163,2.14014228,1.462922513,1.333518837,1.477438622,2.82311372,-2.60320229,-0.179582168,-1.1649199,4.013010371,2.003249952,1.2192871,2.011283204,4.5072693,-4.4168612,0.386179848,1.63406452,11.69858307,3.420319148,2.51584848,3.442051416
4,1.6740762,-1.4553864,-0.066985637,0.035430185,1.049850104,1.024621932,1.039081815,1.026809223,1.8362609,-0.68477994,0.164617528,0.13530666,0.359001,0.599166922,0.40866886,0.6213694,3.5256088,-3.134655,0.462254515,1.2299771,4.295732812,2.07261497,1.0751229,2.123537626,2.35885614,-2.4559836,-0.231603165,-0.56016335,2.068766232,1.438320629,1.0173962,1.456848056,2.65390405,-2.632218303,-0.297636987,-1.011898305,2.667126187,1.633133855,0.812145405,1.660034326,3.9171734,-4.6890017,0.529240151,1.89093337,8.861631168,2.976849201,1.47859923,3.023528784
4,1.194694,-2.265551,-0.178558361,0.087618,1.129190941,1.062633964,0.7755125,1.077531451,1.34463,-0.70653665,-0.004880701,-0.037550572,0.111908413,0.334527148,0.149669658,0.334562751,3.6373456,-2.885535,0.277200802,-0.1486044,4.846797645,2.201544377,1.9318571,2.218927202,1.23038047,-2.26635,-0.173677659,0.19787288,1.1636078,1.07870654,0.738228277,1.092598613,2.64238839,-3.49646425,-0.282081503,0.11611385,4.687928604,2.165162489,1.93452023,2.18346023,5.2805158,-3.24506175,0.455759162,-0.39734366,10.17882836,3.190427614,2.68340114,3.22281628
4,1.1512846,-2.2716765,-0.210853121,-0.054328486,1.161850205,1.077891555,0.912931686,1.098321102,0.49002165,-4.313256,-0.26800456,-0.16405073,0.461530581,0.67936042,0.25486451,0.730312964,3.1555796,-2.3510387,0.124681208,-0.25246766,3.53261279,1.879524618,1.61520734,1.88365554,5.02831474,-2.62081685,0.057151439,0.215982365,1.900812228,1.37869947,0.915594775,1.379883515,2.1252026,-4.63416693,-0.392685768,0.37950047,3.716970169,1.927944545,1.36566899,1.967529487,4.9257828,-3.0996533,0.33553433,-0.39414781,8.268120508,2.875433969,2.36701766,2.894944523
4,1.4865766,-1.6642094,0.059130238,0.007989483,0.829364495,0.910694513,0.816791517,0.912612119,1.6271914,-0.71133035,0.057311763,0.008522116,0.134122981,0.366228046,0.109988556,0.370685338,3.0389333,-2.3073628,0.213227749,-0.019441076,2.906580933,1.70486977,1.732119924,1.718152207,1.54995984,-1.94250978,0.001818474,0.013049489,0.971494804,0.98564436,0.886566351,0.985646037,2.31029218,-2.952913195,-0.155915986,0.004793639,2.697848689,1.642512919,1.458879599,1.649896507,4.6506784,-3.7571877,0.154097511,-0.021837921,6.528099097,2.5550145,2.604837919,2.559657231
4,1.6751283,-1.7968348,0.174463687,0.57604176,1.284401285,1.133314292,0.66525764,1.146664233,1.431449,-1.2713932,0.044187172,0.020772656,0.213121498,0.46165084,0.217313954,0.463760719,3.1164312,-2.4831314,-0.256345243,-1.6793894,4.09005514,2.022388474,0.7768441,2.038570093,2.04717203,-2.3888556,0.130276515,0.9669938,1.844500272,1.358123806,0.65167557,1.364357813,2.588059946,-2.81682546,0.300532415,0.9608685,3.323830725,1.823137604,1.217064746,1.847741989,4.418717,-4.103665,-0.43080893,-2.35370184,9.744669908,3.121645385,1.47166276,3.151232496
4,1.6346483,-1.6442357,0.024796997,0.01304949,0.905876925,0.951775669,0.82984101,0.952098638,2.091913,-0.56938386,0.049564391,0,0.136677297,0.369698927,0.10972224,0.373006603,2.694054,-1.9507655,0.344734108,0.060720075,2.493674313,1.579137205,1.707618975,1.616327912,1.7222663,-2.4455808,-0.024767394,0.008522116,0.842817963,0.918051177,0.804807304,0.918385206,2.08232574,-3.1188282,-0.295169717,-0.122771729,2.624646787,1.620076167,1.630387184,1.646745866,4.3196474,-3.5814191,0.319937111,0.064182185,5.93060696,2.435283753,2.520415725,2.456209827
4,1.4847124,-1.525725,-0.079593513,-0.012250541,0.931864673,0.96533138,0.922785359,0.968607144,1.7819211,-1.4205302,5.07E-04,0.00958738,0.210875545,0.459211874,0.19228023,0.459212153,2.769155,-2.2937808,0.377120357,0.39734364,2.571514924,1.603594377,1.53291564,1.647341704,2.1497037,-2.3270701,-0.080100272,-0.018642128,1.072382546,1.03555905,0.932639092,1.038652299,2.32280914,-2.96942464,-0.376613598,-0.449009,2.6061193,1.614347949,1.436775445,1.657696324,3.9896817,-3.2716935,0.45671387,0.4351605,6.316731398,2.513310844,2.42747147,2.554470387
1,4.6770434,-4.3726444,-0.167089403,-0.95474327,5.835894108,2.41575953,1.77899153,2.421531122,5.0679955,-4.999819,0.082981426,0.454069,5.242869514,2.289731319,1.4948323,2.291234478,4.445615,-6.497847,0.095330499,0.59574914,5.555433564,2.356996726,1.31427004,2.358923794,9.3812515,-8.6099996,-0.250070829,-0.5267733,18.31768692,4.279916695,3.30285245,4.287216152,6.008091544,-4.199006105,-0.012349073,-0.3853594,3.375407859,1.837228309,0.5600627,1.837269811,8.8182594,-10.6164256,0.262419902,1.11453296,21.7743139,4.666295522,3.32229344,4.673668591
1,5.8586884,-4.2219095,0.07227287,-0.9062737,6.755637768,2.599160974,1.8959044,2.600165598,7.272028,-6.522082,-0.244163945,-0.16804546,8.131365272,2.851554887,1.97926136,2.861989047,5.590774,-8.044345,0.271645098,0.7483483,6.697619372,2.587975922,1.63677884,2.602193388,10.2883245,-10.8675618,0.316436815,0.219444475,24.23678377,4.923086813,3.535080125,4.933245993,7.368967,-5.19209926,-0.515809042,-0.7057378,4.900753782,2.213764618,1.19496046,2.273062417,9.8126835,-12.297147,0.199372227,1.0823087,25.54507997,5.05421408,3.48634424,5.058144843
1,5.2184644,-4.1782336,-0.240528727,-1.0727214,6.198051471,2.489588615,1.8578211,2.501180829,4.7063384,-5.5337825,-0.105953866,-0.019441076,4.86400939,2.205449929,1.514806076,2.207993572,4.3097935,-6.42967,0.301091672,0.84182525,5.265993629,2.294775289,1.32092775,2.31444374,10.4433205,-8.8472876,-0.134574861,-0.7936221,18.95498949,4.353732823,3.10524602,4.355812196,5.67146824,-3.620567476,-0.407045538,-0.5872271,2.448916373,1.564901394,0.84235784,1.616973235,7.849401,-11.6481344,0.541620399,1.5411714,21.06334627,4.589482136,3.0943269,4.621330861
1,4.8781123,-3.7428067,-0.088767649,-0.6543387,6.190022615,2.487975606,1.9757993,2.489558658,6.7340693,-4.6711845,-0.058916504,0.060720075,6.120004274,2.473864239,1.526257625,2.474565705,5.334312,-5.6293902,0.325525312,0.67697555,6.030725333,2.455753516,1.75049585,2.477234761,9.4046873,-9.8720722,-0.029851145,-0.36405414,21.7744042,4.666305198,3.17448801,4.666400679,4.6091331,-3.1609059,-0.384441816,-0.4681836,1.97504463,1.405362811,0.7787082,1.456996959,9.0771187,-10.5067032,0.414292962,0.9867012,23.08525984,4.804712254,3.6940708,4.822540669
1,2.790194,-3.2333438,-0.039231019,0.15419704,1.55980215,1.248920394,0.82877574,1.249536403,4.272243,-7.9455414,-0.019331892,0.57550913,8.170502578,2.858409099,1.57392823,2.858474471,3.6029906,-4.942827,-0.022959105,0.3885552,4.496213353,2.120427634,1.4005564,2.120551927,8.8595383,-5.3257896,-0.019899127,-0.81439466,10.39003147,3.223357174,1.82612954,3.223418596,7.040333,-5.0434944,0.003627213,-0.4117247,3.983205975,1.995797078,0.8527443,1.995800374,4.29274955,-6.721819,0.016271914,0.50200582,7.496794673,2.738027515,2.01201832,2.738075866
1,3.99341,-4.3739758,-0.163293967,0.048203215,2.36999815,1.539479831,0.942492715,1.548115974,4.870123,-8.715728,-0.094771624,0.3320962,8.863580081,2.977176528,1.5675367,2.978684566,3.1790154,-5.127384,0.020656644,0.5504754,3.346004336,1.829208664,1.11985926,1.829325294,11.2459974,-4.8783786,-0.068522343,-0.8426242,12.06505957,3.473479462,2.2463764,3.474155276,6.4062342,-6.9817438,-0.115428268,-0.49055428,4.65682403,2.157967569,1.13530562,2.161052455,4.9204566,-5.6440374,0.183950611,0.59335225,6.448046649,2.539300425,1.88738245,2.545954532
1,2.3763387,-2.2439797,-0.018527615,0.021837922,0.772967374,0.879185631,0.536626962,0.879380832,4.7484164,-8.531969,-0.153219651,0.13821806,7.749242183,2.78374607,1.77366534,2.787959549,3.2559807,-5.1790495,-0.013254558,0.42344263,3.560581328,1.886950272,1.16113827,1.886996823,8.6912267,-5.396097,0.134692036,-0.4993428,8.694610157,2.948662435,1.69536846,2.951737133,4.0021984,-3.9156459,-0.139965093,-0.263919245,2.767057569,1.663447495,1.102016055,1.669325551,3.74067606,-6.1700121,0.005273056,0.4103931,5.035725929,2.244042319,1.6804547,2.244048514
1,1.6772588,-2.5174863,-0.076691049,-0.022903185,0.678472258,0.823694274,0.543551165,0.827256777,4.669054,-8.407333,-0.100859236,0.52863747,7.26313602,2.695020597,1.15980663,2.69690723,3.8040593,-4.3577304,0.257165488,0.82611257,2.907166568,1.705041515,0.86020103,1.724326146,8.81026928,-5.0293797,0.024168187,-0.8191884,7.43855816,2.727372024,1.10787509,2.727479104,3.6868803,-6.3644222,-0.358024724,-0.31318777,2.865174732,1.692682703,0.9922939,1.730131913,4.2916841,-4.234958675,0.333856537,0.59228694,3.815122009,1.953233731,1.39096894,1.981560546
1,8.137336,-3.803247,0.49366159,-0.50701815,7.558948279,2.749354157,1.46210595,2.793322402,9.781785,-9.170309,-0.270879058,-0.79473567,17.52759423,4.186596974,2.62488797,4.195350962,5.8178806,-8.795849,0.610590351,1.0644327,10.09222815,3.176826742,1.87444003,3.234972755,17.307645,-13.115887,0.764540648,0.0287107,39.94391473,6.320119835,3.09189425,6.366194871,6.1181207,-5.84536956,-0.88146941,-0.5158757,10.12674473,3.182254661,2.842356,3.302080109,8.384431,-16.884927,0.116928761,1.99172607,33.43995903,5.782729375,3.37472493,5.783911424
